ZONE,DIST_NAME,DISTRICT,COUNTY,YEAR,CTY,DU,POP,EMP,FAMILY_SIZE,FAMILYSIZE_Multi0.5
1,D_1,1,1,2015,HILLSBOROUGH,321,741,215,2.3,1.15
1,D_1,1,1,2035,HILLSBOROUGH,335,779,215,2.32,1.16
1,D_1,1,1,2045,HILLSBOROUGH,508,1251,215,2.46,1.23
2,D_1,1,1,2015,HILLSBOROUGH,671,1841,201,2.74,1.37
2,D_1,1,1,2035,HILLSBOROUGH,709,1943,201,2.74,1.37
2,D_1,1,1,2045,HILLSBOROUGH,746,2045,201,2.74,1.37
3,D_1,1,1,2015,HILLSBOROUGH,1003,2908,604,2.89,1.445
3,D_1,1,1,2035,HILLSBOROUGH,1290,3682,973,2.85,1.425
3,D_1,1,1,2045,HILLSBOROUGH,1309,3732,1025,2.85,1.425
4,D_1,1,1,2015,HILLSBOROUGH,866,2656,159,3.06,1.53
4,D_1,1,1,2035,HILLSBOROUGH,890,2723,193,3.05,1.525
4,D_1,1,1,2045,HILLSBOROUGH,892,2727,195,3.05,1.525
5,D_1,1,1,2015,HILLSBOROUGH,619,1724,106,2.78,1.39
5,D_1,1,1,2035,HILLSBOROUGH,625,1740,124,2.78,1.39
5,D_1,1,1,2045,HILLSBOROUGH,684,1899,126,2.77,1.385
6,D_1,1,1,2015,HILLSBOROUGH,246,640,140,2.6,1.3
6,D_1,1,1,2035,HILLSBOROUGH,263,685,143,2.6,1.3
6,D_1,1,1,2045,HILLSBOROUGH,279,729,144,2.61,1.305
7,D_1,1,1,2015,HILLSBOROUGH,181,470,117,2.59,1.295
7,D_1,1,1,2035,HILLSBOROUGH,195,508,118,2.6,1.3
7,D_1,1,1,2045,HILLSBOROUGH,209,545,118,2.6,1.3
8,D_1,1,1,2015,HILLSBOROUGH,1143,2920,837,2.55,1.275
8,D_1,1,1,2035,HILLSBOROUGH,1256,3228,849,2.57,1.285
8,D_1,1,1,2045,HILLSBOROUGH,1369,3535,861,2.58,1.29
9,D_1,1,1,2015,HILLSBOROUGH,698,1897,322,2.71,1.355
9,D_1,1,1,2035,HILLSBOROUGH,804,2182,322,2.71,1.355
9,D_1,1,1,2045,HILLSBOROUGH,909,2466,322,2.71,1.355
10,D_1,1,1,2015,HILLSBOROUGH,908,2115,525,2.32,1.16
10,D_1,1,1,2035,HILLSBOROUGH,1159,2817,525,2.43,1.215
10,D_1,1,1,2045,HILLSBOROUGH,1410,3518,525,2.49,1.245
11,D_1,1,1,2015,HILLSBOROUGH,591,1393,642,2.35,1.175
11,D_1,1,1,2035,HILLSBOROUGH,677,1624,642,2.39,1.195
11,D_1,1,1,2045,HILLSBOROUGH,762,1855,642,2.43,1.215
12,D_1,1,1,2015,HILLSBOROUGH,631,1666,307,2.64,1.32
12,D_1,1,1,2035,HILLSBOROUGH,707,1870,308,2.64,1.32
12,D_1,1,1,2045,HILLSBOROUGH,782,2073,308,2.65,1.325
13,D_1,1,1,2015,HILLSBOROUGH,2290,4270,391,1.86,0.93
13,D_1,1,1,2035,HILLSBOROUGH,2290,4270,393,1.86,0.93
13,D_1,1,1,2045,HILLSBOROUGH,2290,4270,418,1.86,0.93
14,D_1,1,1,2015,HILLSBOROUGH,737,1678,850,2.27,1.135
14,D_1,1,1,2035,HILLSBOROUGH,931,2120,850,2.27,1.135
14,D_1,1,1,2045,HILLSBOROUGH,931,2120,850,2.27,1.135
15,D_1,1,1,2015,HILLSBOROUGH,680,1583,850,2.32,1.16
15,D_1,1,1,2035,HILLSBOROUGH,691,1615,852,2.33,1.165
15,D_1,1,1,2045,HILLSBOROUGH,692,1617,853,2.33,1.165
16,D_1,1,1,2015,HILLSBOROUGH,139,367,2037,2.64,1.32
16,D_1,1,1,2035,HILLSBOROUGH,231,600,2290,2.59,1.295
16,D_1,1,1,2045,HILLSBOROUGH,273,705,2404,2.58,1.29
17,D_1,1,1,2015,HILLSBOROUGH,560,1380,553,2.46,1.23
17,D_1,1,1,2035,HILLSBOROUGH,560,1380,553,2.46,1.23
17,D_1,1,1,2045,HILLSBOROUGH,560,1380,553,2.46,1.23
18,D_1,1,1,2015,HILLSBOROUGH,16,27,78,1.68,0.84
18,D_1,1,1,2035,HILLSBOROUGH,315,883,99,2.8,1.4
18,D_1,1,1,2045,HILLSBOROUGH,339,955,100,2.81,1.405
19,D_1,1,1,2015,HILLSBOROUGH,66,161,398,2.43,1.215
19,D_1,1,1,2035,HILLSBOROUGH,517,1209,405,2.33,1.165
19,D_1,1,1,2045,HILLSBOROUGH,521,1217,405,2.33,1.165
20,D_1,1,1,2015,HILLSBOROUGH,547,1368,964,2.5,1.25
20,D_1,1,1,2035,HILLSBOROUGH,555,1423,964,2.56,1.28
20,D_1,1,1,2045,HILLSBOROUGH,558,1446,964,2.59,1.295
21,D_1,1,1,2015,HILLSBOROUGH,215,521,867,2.42,1.21
21,D_1,1,1,2035,HILLSBOROUGH,284,706,879,2.48,1.24
21,D_1,1,1,2045,HILLSBOROUGH,313,784,890,2.5,1.25
22,D_1,1,1,2015,HILLSBOROUGH,1115,2843,681,2.54,1.27
22,D_1,1,1,2035,HILLSBOROUGH,1144,2923,681,2.55,1.275
22,D_1,1,1,2045,HILLSBOROUGH,1172,3003,681,2.56,1.28
23,D_1,1,1,2015,HILLSBOROUGH,951,2734,777,2.87,1.435
23,D_1,1,1,2035,HILLSBOROUGH,1557,4333,1557,2.78,1.39
23,D_1,1,1,2045,HILLSBOROUGH,1771,4897,1816,2.76,1.38
24,D_1,1,1,2015,HILLSBOROUGH,435,1062,171,2.44,1.22
24,D_1,1,1,2035,HILLSBOROUGH,448,1096,177,2.44,1.22
24,D_1,1,1,2045,HILLSBOROUGH,460,1129,178,2.45,1.225
25,D_1,1,1,2015,HILLSBOROUGH,434,1336,331,3.07,1.535
25,D_1,1,1,2035,HILLSBOROUGH,477,1452,346,3.04,1.52
25,D_1,1,1,2045,HILLSBOROUGH,496,1504,349,3.03,1.515
26,D_1,1,1,2015,HILLSBOROUGH,1,5,41,5,2.5
26,D_1,1,1,2035,HILLSBOROUGH,1,5,41,5,2.5
26,D_1,1,1,2045,HILLSBOROUGH,1,5,41,5,2.5
27,D_1,1,1,2015,HILLSBOROUGH,548,1365,823,2.49,1.245
27,D_1,1,1,2035,HILLSBOROUGH,548,1365,823,2.49,1.245
27,D_1,1,1,2045,HILLSBOROUGH,548,1365,823,2.49,1.245
28,D_1,1,1,2015,HILLSBOROUGH,217,533,112,2.45,1.225
28,D_1,1,1,2035,HILLSBOROUGH,225,555,116,2.46,1.23
28,D_1,1,1,2045,HILLSBOROUGH,233,576,117,2.47,1.235
29,D_1,1,1,2015,HILLSBOROUGH,526,1250,580,2.37,1.185
29,D_1,1,1,2035,HILLSBOROUGH,561,1354,580,2.41,1.205
29,D_1,1,1,2045,HILLSBOROUGH,575,1396,580,2.42,1.21
30,D_1,1,1,2015,HILLSBOROUGH,1297,3210,996,2.47,1.235
30,D_1,1,1,2035,HILLSBOROUGH,1390,3463,1022,2.49,1.245
30,D_1,1,1,2045,HILLSBOROUGH,1424,3556,1029,2.49,1.245
31,D_1,1,1,2015,HILLSBOROUGH,1240,3352,329,2.7,1.35
31,D_1,1,1,2035,HILLSBOROUGH,1258,3400,355,2.7,1.35
31,D_1,1,1,2045,HILLSBOROUGH,1259,3403,356,2.7,1.35
32,D_1,1,1,2015,HILLSBOROUGH,1078,2807,255,2.6,1.3
32,D_1,1,1,2035,HILLSBOROUGH,1078,2807,255,2.6,1.3
32,D_1,1,1,2045,HILLSBOROUGH,1078,2807,255,2.6,1.3
33,D_1,1,1,2015,HILLSBOROUGH,385,1032,182,2.68,1.34
33,D_1,1,1,2035,HILLSBOROUGH,385,1032,1120,2.68,1.34
33,D_1,1,1,2045,HILLSBOROUGH,385,1032,1182,2.68,1.34
34,D_1,1,1,2015,HILLSBOROUGH,2464,4798,1340,1.94,0.97
34,D_1,1,1,2035,HILLSBOROUGH,2488,4967,1451,1.99,0.995
34,D_1,1,1,2045,HILLSBOROUGH,2492,4998,1572,2,1
35,D_1,1,1,2015,HILLSBOROUGH,0,0,1443,0,0
35,D_1,1,1,2035,HILLSBOROUGH,60,162,1443,2.7,1.35
35,D_1,1,1,2045,HILLSBOROUGH,80,216,1443,2.7,1.35
36,D_1,1,1,2015,HILLSBOROUGH,1178,2520,1674,2.13,1.065
36,D_1,1,1,2035,HILLSBOROUGH,1190,2532,1674,2.12,1.06
36,D_1,1,1,2045,HILLSBOROUGH,1194,2536,1674,2.12,1.06
37,D_1,1,1,2015,HILLSBOROUGH,1069,1917,80,1.79,0.895
37,D_1,1,1,2035,HILLSBOROUGH,1070,1927,88,1.8,0.9
37,D_1,1,1,2045,HILLSBOROUGH,1070,1927,93,1.8,0.9
38,D_1,1,1,2015,HILLSBOROUGH,931,2244,2518,2.41,1.205
38,D_1,1,1,2035,HILLSBOROUGH,1097,2673,2518,2.43,1.215
38,D_1,1,1,2045,HILLSBOROUGH,1229,3016,2518,2.45,1.225
39,D_1,1,1,2015,HILLSBOROUGH,1262,2949,356,2.33,1.165
39,D_1,1,1,2035,HILLSBOROUGH,1345,3177,551,2.36,1.18
39,D_1,1,1,2045,HILLSBOROUGH,1358,3212,626,2.36,1.18
40,D_1,1,1,2015,HILLSBOROUGH,634,1517,757,2.39,1.195
40,D_1,1,1,2035,HILLSBOROUGH,732,1779,870,2.43,1.215
40,D_1,1,1,2045,HILLSBOROUGH,756,1843,935,2.43,1.215
41,D_1,1,1,2015,HILLSBOROUGH,451,954,890,2.11,1.055
41,D_1,1,1,2035,HILLSBOROUGH,586,1320,923,2.25,1.125
41,D_1,1,1,2045,HILLSBOROUGH,613,1393,1087,2.27,1.135
42,D_1,1,1,2015,HILLSBOROUGH,317,416,1919,1.31,0.655
42,D_1,1,1,2035,HILLSBOROUGH,519,893,2286,1.72,0.86
42,D_1,1,1,2045,HILLSBOROUGH,564,1000,3024,1.77,0.885
43,D_2,2,1,2015,HILLSBOROUGH,1544,3765,135,2.43,1.215
43,D_2,2,1,2035,HILLSBOROUGH,1894,4707,135,2.48,1.24
43,D_2,2,1,2045,HILLSBOROUGH,1905,4737,135,2.48,1.24
44,D_2,2,1,2015,HILLSBOROUGH,510,960,509,1.88,0.94
44,D_2,2,1,2035,HILLSBOROUGH,708,1582,626,2.23,1.115
44,D_2,2,1,2045,HILLSBOROUGH,840,1999,1074,2.37,1.185
45,D_2,2,1,2015,HILLSBOROUGH,502,1434,504,2.85,1.425
45,D_2,2,1,2035,HILLSBOROUGH,502,1434,504,2.85,1.425
45,D_2,2,1,2045,HILLSBOROUGH,502,1434,504,2.85,1.425
46,D_2,2,1,2015,HILLSBOROUGH,418,1375,312,3.28,1.64
46,D_2,2,1,2035,HILLSBOROUGH,418,1375,312,3.28,1.64
46,D_2,2,1,2045,HILLSBOROUGH,418,1375,312,3.28,1.64
47,D_2,2,1,2015,HILLSBOROUGH,477,1282,29,2.68,1.34
47,D_2,2,1,2035,HILLSBOROUGH,477,1282,29,2.68,1.34
47,D_2,2,1,2045,HILLSBOROUGH,477,1282,29,2.68,1.34
48,D_2,2,1,2015,HILLSBOROUGH,512,1387,17,2.7,1.35
48,D_2,2,1,2035,HILLSBOROUGH,1257,3395,214,2.7,1.35
48,D_2,2,1,2045,HILLSBOROUGH,1303,3519,227,2.7,1.35
49,D_2,2,1,2015,HILLSBOROUGH,612,1812,55,2.96,1.48
49,D_2,2,1,2035,HILLSBOROUGH,3128,8591,708,2.74,1.37
49,D_2,2,1,2045,HILLSBOROUGH,3288,9023,751,2.74,1.37
50,D_2,2,1,2015,HILLSBOROUGH,877,2277,523,2.59,1.295
50,D_2,2,1,2035,HILLSBOROUGH,877,2277,523,2.59,1.295
50,D_2,2,1,2045,HILLSBOROUGH,877,2277,523,2.59,1.295
51,D_2,2,1,2015,HILLSBOROUGH,1022,2867,294,2.8,1.4
51,D_2,2,1,2035,HILLSBOROUGH,1030,2890,303,2.8,1.4
51,D_2,2,1,2045,HILLSBOROUGH,1031,2891,303,2.8,1.4
52,D_2,2,1,2015,HILLSBOROUGH,185,400,206,2.16,1.08
52,D_2,2,1,2035,HILLSBOROUGH,210,469,229,2.23,1.115
52,D_2,2,1,2045,HILLSBOROUGH,222,502,265,2.26,1.13
53,D_2,2,1,2015,HILLSBOROUGH,571,1130,207,1.97,0.985
53,D_2,2,1,2035,HILLSBOROUGH,627,1283,287,2.04,1.02
53,D_2,2,1,2045,HILLSBOROUGH,631,1293,291,2.04,1.02
54,D_2,2,1,2015,HILLSBOROUGH,393,740,1715,1.88,0.94
54,D_2,2,1,2035,HILLSBOROUGH,485,992,1715,2.04,1.02
54,D_2,2,1,2045,HILLSBOROUGH,545,1158,1715,2.12,1.06
55,D_2,2,1,2015,HILLSBOROUGH,1158,2993,405,2.58,1.29
55,D_2,2,1,2035,HILLSBOROUGH,1159,2993,405,2.58,1.29
55,D_2,2,1,2045,HILLSBOROUGH,1159,2993,422,2.58,1.29
56,D_2,2,1,2015,HILLSBOROUGH,890,2022,448,2.27,1.135
56,D_2,2,1,2035,HILLSBOROUGH,897,2039,455,2.27,1.135
56,D_2,2,1,2045,HILLSBOROUGH,897,2040,456,2.27,1.135
57,D_2,2,1,2015,HILLSBOROUGH,2979,7940,1058,2.66,1.33
57,D_2,2,1,2035,HILLSBOROUGH,3167,8434,1253,2.66,1.33
57,D_2,2,1,2045,HILLSBOROUGH,3225,8587,1405,2.66,1.33
58,D_2,2,1,2015,HILLSBOROUGH,0,0,629,0,0
58,D_2,2,1,2035,HILLSBOROUGH,145,393,829,2.71,1.355
58,D_2,2,1,2045,HILLSBOROUGH,155,419,842,2.7,1.35
59,D_2,2,1,2015,HILLSBOROUGH,0,0,2479,0,0
59,D_2,2,1,2035,HILLSBOROUGH,173,438,2481,2.53,1.265
59,D_2,2,1,2045,HILLSBOROUGH,345,871,3317,2.52,1.26
60,D_2,2,1,2015,HILLSBOROUGH,0,0,1777,0,0
60,D_2,2,1,2035,HILLSBOROUGH,46,115,1812,2.5,1.25
60,D_2,2,1,2045,HILLSBOROUGH,78,197,1967,2.52,1.26
61,D_2,2,1,2015,HILLSBOROUGH,913,1723,823,1.88,0.94
61,D_2,2,1,2035,HILLSBOROUGH,913,1723,823,1.88,0.94
61,D_2,2,1,2045,HILLSBOROUGH,913,1723,823,1.88,0.94
62,D_2,2,1,2015,HILLSBOROUGH,472,1145,927,2.42,1.21
62,D_2,2,1,2035,HILLSBOROUGH,472,1145,927,2.42,1.21
62,D_2,2,1,2045,HILLSBOROUGH,472,1145,927,2.42,1.21
63,D_2,2,1,2015,HILLSBOROUGH,733,1835,542,2.5,1.25
63,D_2,2,1,2035,HILLSBOROUGH,860,2175,716,2.52,1.26
63,D_2,2,1,2045,HILLSBOROUGH,868,2198,727,2.53,1.265
64,D_2,2,1,2015,HILLSBOROUGH,863,2261,151,2.61,1.305
64,D_2,2,1,2035,HILLSBOROUGH,928,2434,240,2.62,1.31
64,D_2,2,1,2045,HILLSBOROUGH,932,2446,246,2.62,1.31
65,D_2,2,1,2015,HILLSBOROUGH,1699,4529,529,2.66,1.33
65,D_2,2,1,2035,HILLSBOROUGH,1718,4579,531,2.66,1.33
65,D_2,2,1,2045,HILLSBOROUGH,1719,4582,531,2.66,1.33
66,D_2,2,1,2015,HILLSBOROUGH,1984,4883,566,2.46,1.23
66,D_2,2,1,2035,HILLSBOROUGH,2247,5556,566,2.47,1.235
66,D_2,2,1,2045,HILLSBOROUGH,2375,5883,566,2.47,1.235
67,D_2,2,1,2015,HILLSBOROUGH,6,8,3,1.33,0.665
67,D_2,2,1,2035,HILLSBOROUGH,6,8,3,1.33,0.665
67,D_2,2,1,2045,HILLSBOROUGH,6,8,3,1.33,0.665
68,D_2,2,1,2015,HILLSBOROUGH,18,39,208,2.16,1.08
68,D_2,2,1,2035,HILLSBOROUGH,74,192,262,2.59,1.295
68,D_2,2,1,2045,HILLSBOROUGH,92,241,266,2.61,1.305
69,D_2,2,1,2015,HILLSBOROUGH,950,1892,151,1.99,0.995
69,D_2,2,1,2035,HILLSBOROUGH,1117,2434,424,2.17,1.085
69,D_2,2,1,2045,HILLSBOROUGH,1134,2488,492,2.19,1.095
70,D_2,2,1,2015,HILLSBOROUGH,901,2254,24,2.5,1.25
70,D_2,2,1,2035,HILLSBOROUGH,901,2254,134,2.5,1.25
70,D_2,2,1,2045,HILLSBOROUGH,901,2254,211,2.5,1.25
71,D_2,2,1,2015,HILLSBOROUGH,752,1633,269,2.17,1.085
71,D_2,2,1,2035,HILLSBOROUGH,752,1634,269,2.17,1.085
71,D_2,2,1,2045,HILLSBOROUGH,752,1634,269,2.17,1.085
72,D_2,2,1,2015,HILLSBOROUGH,1301,2354,1350,1.8,0.9
72,D_2,2,1,2035,HILLSBOROUGH,1370,2541,1443,1.85,0.925
72,D_2,2,1,2045,HILLSBOROUGH,1375,2553,1449,1.85,0.925
73,D_2,2,1,2015,HILLSBOROUGH,0,0,569,0,0
73,D_2,2,1,2035,HILLSBOROUGH,313,792,1118,2.53,1.265
73,D_2,2,1,2045,HILLSBOROUGH,379,958,2005,2.52,1.26
74,D_2,2,1,2015,HILLSBOROUGH,504,1143,69,2.26,1.13
74,D_2,2,1,2035,HILLSBOROUGH,550,1274,138,2.31,1.155
74,D_2,2,1,2045,HILLSBOROUGH,564,1313,190,2.32,1.16
75,D_2,2,1,2015,HILLSBOROUGH,1001,2404,386,2.4,1.2
75,D_2,2,1,2035,HILLSBOROUGH,1340,3316,824,2.47,1.235
75,D_2,2,1,2045,HILLSBOROUGH,1378,3418,937,2.48,1.24
76,D_2,2,1,2015,HILLSBOROUGH,1255,2115,630,1.68,0.84
76,D_2,2,1,2035,HILLSBOROUGH,1402,2664,863,1.9,0.95
76,D_2,2,1,2045,HILLSBOROUGH,1432,2775,1050,1.93,0.965
77,D_2,2,1,2015,HILLSBOROUGH,1908,2978,894,1.56,0.78
77,D_2,2,1,2035,HILLSBOROUGH,1954,3142,988,1.6,0.8
77,D_2,2,1,2045,HILLSBOROUGH,1963,3172,1022,1.61,0.805
78,D_2,2,1,2015,HILLSBOROUGH,1677,2986,1206,1.78,0.89
78,D_2,2,1,2035,HILLSBOROUGH,1677,3033,1216,1.8,0.9
78,D_2,2,1,2045,HILLSBOROUGH,1677,3078,1664,1.83,0.915
79,D_2,2,1,2015,HILLSBOROUGH,1352,2995,491,2.21,1.105
79,D_2,2,1,2035,HILLSBOROUGH,1352,2995,491,2.21,1.105
79,D_2,2,1,2045,HILLSBOROUGH,1352,2995,491,2.21,1.105
80,D_3,3,1,2015,HILLSBOROUGH,1464,3507,399,2.39,1.195
80,D_3,3,1,2035,HILLSBOROUGH,1491,3576,399,2.39,1.195
80,D_3,3,1,2045,HILLSBOROUGH,2475,6085,399,2.45,1.225
81,D_3,3,1,2015,HILLSBOROUGH,272,762,336,2.8,1.4
81,D_3,3,1,2035,HILLSBOROUGH,272,762,336,2.8,1.4
81,D_3,3,1,2045,HILLSBOROUGH,272,762,336,2.8,1.4
82,D_3,3,1,2015,HILLSBOROUGH,339,737,86,2.17,1.085
82,D_3,3,1,2035,HILLSBOROUGH,339,737,86,2.17,1.085
82,D_3,3,1,2045,HILLSBOROUGH,339,737,86,2.17,1.085
83,D_3,3,1,2015,HILLSBOROUGH,638,2118,289,3.31,1.655
83,D_3,3,1,2035,HILLSBOROUGH,794,2537,289,3.19,1.595
83,D_3,3,1,2045,HILLSBOROUGH,819,2604,289,3.17,1.585
84,D_3,3,1,2015,HILLSBOROUGH,723,2116,413,2.92,1.46
84,D_3,3,1,2035,HILLSBOROUGH,1063,3033,413,2.85,1.425
84,D_3,3,1,2045,HILLSBOROUGH,1177,3339,413,2.83,1.415
85,D_3,3,1,2015,HILLSBOROUGH,1175,3222,673,2.74,1.37
85,D_3,3,1,2035,HILLSBOROUGH,1586,4328,673,2.72,1.36
85,D_3,3,1,2045,HILLSBOROUGH,1728,4712,673,2.72,1.36
86,D_3,3,1,2015,HILLSBOROUGH,1446,3776,1808,2.61,1.305
86,D_3,3,1,2035,HILLSBOROUGH,1994,5235,1808,2.62,1.31
86,D_3,3,1,2045,HILLSBOROUGH,2046,5373,1808,2.62,1.31
87,D_3,3,1,2015,HILLSBOROUGH,590,1644,867,2.78,1.39
87,D_3,3,1,2035,HILLSBOROUGH,642,1766,867,2.75,1.375
87,D_3,3,1,2045,HILLSBOROUGH,655,1797,867,2.74,1.37
88,D_3,3,1,2015,HILLSBOROUGH,971,2475,987,2.54,1.27
88,D_3,3,1,2035,HILLSBOROUGH,1010,2581,987,2.55,1.275
88,D_3,3,1,2045,HILLSBOROUGH,1013,2588,987,2.55,1.275
89,D_3,3,1,2015,HILLSBOROUGH,230,529,234,2.29,1.145
89,D_3,3,1,2035,HILLSBOROUGH,265,621,234,2.34,1.17
89,D_3,3,1,2045,HILLSBOROUGH,269,631,234,2.34,1.17
90,D_3,3,1,2015,HILLSBOROUGH,1000,2708,2817,2.7,1.35
90,D_3,3,1,2035,HILLSBOROUGH,1073,2763,2817,2.57,1.285
90,D_3,3,1,2045,HILLSBOROUGH,1298,2932,2817,2.25,1.125
91,D_3,3,1,2015,HILLSBOROUGH,323,882,981,2.73,1.365
91,D_3,3,1,2035,HILLSBOROUGH,419,1116,981,2.66,1.33
91,D_3,3,1,2045,HILLSBOROUGH,475,1255,974,2.64,1.32
92,D_3,3,1,2015,HILLSBOROUGH,1351,2446,1810,1.81,0.905
92,D_3,3,1,2035,HILLSBOROUGH,1464,2587,1810,1.76,0.88
92,D_3,3,1,2045,HILLSBOROUGH,1693,2871,1805,1.69,0.845
93,D_3,3,1,2015,HILLSBOROUGH,1439,3466,620,2.4,1.2
93,D_3,3,1,2035,HILLSBOROUGH,1605,3912,620,2.43,1.215
93,D_3,3,1,2045,HILLSBOROUGH,1619,3949,620,2.43,1.215
94,D_3,3,1,2015,HILLSBOROUGH,105,265,396,2.52,1.26
94,D_3,3,1,2035,HILLSBOROUGH,106,267,396,2.51,1.255
94,D_3,3,1,2045,HILLSBOROUGH,106,267,396,2.51,1.255
95,D_3,3,1,2015,HILLSBOROUGH,956,2577,196,2.69,1.345
95,D_3,3,1,2035,HILLSBOROUGH,993,2676,196,2.69,1.345
95,D_3,3,1,2045,HILLSBOROUGH,994,2680,196,2.69,1.345
96,D_3,3,1,2015,HILLSBOROUGH,531,1176,648,2.21,1.105
96,D_3,3,1,2035,HILLSBOROUGH,596,1331,648,2.23,1.115
96,D_3,3,1,2045,HILLSBOROUGH,613,1371,648,2.23,1.115
97,D_3,3,1,2015,HILLSBOROUGH,0,0,3085,0,0
97,D_3,3,1,2035,HILLSBOROUGH,209,527,3084,2.52,1.26
97,D_3,3,1,2045,HILLSBOROUGH,271,685,3077,2.52,1.26
98,D_3,3,1,2015,HILLSBOROUGH,170,409,266,2.4,1.2
98,D_3,3,1,2035,HILLSBOROUGH,191,465,266,2.43,1.215
98,D_3,3,1,2045,HILLSBOROUGH,193,470,266,2.43,1.215
99,D_3,3,1,2015,HILLSBOROUGH,1415,3680,973,2.6,1.3
99,D_3,3,1,2035,HILLSBOROUGH,1701,4394,973,2.58,1.29
99,D_3,3,1,2045,HILLSBOROUGH,1701,4394,965,2.58,1.29
100,D_3,3,1,2015,HILLSBOROUGH,816,2181,145,2.67,1.335
100,D_3,3,1,2035,HILLSBOROUGH,830,2218,160,2.67,1.335
100,D_3,3,1,2045,HILLSBOROUGH,832,2224,165,2.67,1.335
101,D_3,3,1,2015,HILLSBOROUGH,709,1523,240,2.14,1.07
101,D_3,3,1,2035,HILLSBOROUGH,709,1523,240,2.14,1.07
101,D_3,3,1,2045,HILLSBOROUGH,709,1523,240,2.14,1.07
102,D_3,3,1,2015,HILLSBOROUGH,1467,3001,358,2.04,1.02
102,D_3,3,1,2035,HILLSBOROUGH,1467,3001,358,2.04,1.02
102,D_3,3,1,2045,HILLSBOROUGH,1467,3001,358,2.04,1.02
103,D_3,3,1,2015,HILLSBOROUGH,726,1592,224,2.19,1.095
103,D_3,3,1,2035,HILLSBOROUGH,726,1592,224,2.19,1.095
103,D_3,3,1,2045,HILLSBOROUGH,726,1592,224,2.19,1.095
104,D_3,3,1,2015,HILLSBOROUGH,1055,2127,340,2.01,1.005
104,D_3,3,1,2035,HILLSBOROUGH,1089,2217,340,2.03,1.015
104,D_3,3,1,2045,HILLSBOROUGH,1092,2224,340,2.03,1.015
105,D_3,3,1,2015,HILLSBOROUGH,1142,2798,384,2.45,1.225
105,D_3,3,1,2035,HILLSBOROUGH,1268,3110,384,2.45,1.225
105,D_3,3,1,2045,HILLSBOROUGH,1288,3159,384,2.45,1.225
106,D_3,3,1,2015,HILLSBOROUGH,199,563,479,2.82,1.41
106,D_3,3,1,2035,HILLSBOROUGH,222,624,479,2.81,1.405
106,D_3,3,1,2045,HILLSBOROUGH,241,676,479,2.8,1.4
107,D_3,3,1,2015,HILLSBOROUGH,611,1577,142,2.58,1.29
107,D_3,3,1,2035,HILLSBOROUGH,621,1606,142,2.58,1.29
107,D_3,3,1,2045,HILLSBOROUGH,622,1608,142,2.58,1.29
108,D_3,3,1,2015,HILLSBOROUGH,1505,3793,570,2.52,1.26
108,D_3,3,1,2035,HILLSBOROUGH,1514,3819,570,2.52,1.26
108,D_3,3,1,2045,HILLSBOROUGH,1516,3823,570,2.52,1.26
109,D_3,3,1,2015,HILLSBOROUGH,1230,3755,736,3.05,1.525
109,D_3,3,1,2035,HILLSBOROUGH,1244,3793,736,3.04,1.52
109,D_3,3,1,2045,HILLSBOROUGH,1245,3796,736,3.04,1.52
110,D_3,3,1,2015,HILLSBOROUGH,1622,2921,1229,1.8,0.9
110,D_3,3,1,2035,HILLSBOROUGH,1777,3339,1229,1.87,0.935
110,D_3,3,1,2045,HILLSBOROUGH,1777,3340,1229,1.87,0.935
111,D_3,3,1,2015,HILLSBOROUGH,599,1175,625,1.96,0.98
111,D_3,3,1,2035,HILLSBOROUGH,817,1568,625,1.91,0.955
111,D_3,3,1,2045,HILLSBOROUGH,817,1568,625,1.91,0.955
112,D_3,3,1,2015,HILLSBOROUGH,637,1131,2142,1.77,0.885
112,D_3,3,1,2035,HILLSBOROUGH,1306,2613,2142,2,1
112,D_3,3,1,2045,HILLSBOROUGH,1453,2940,2142,2.02,1.01
113,D_3,3,1,2015,HILLSBOROUGH,246,494,586,2,1
113,D_3,3,1,2035,HILLSBOROUGH,567,1288,830,2.27,1.135
113,D_3,3,1,2045,HILLSBOROUGH,594,1356,886,2.28,1.14
114,D_3,3,1,2015,HILLSBOROUGH,2270,6474,1414,2.85,1.425
114,D_3,3,1,2035,HILLSBOROUGH,2517,6844,1414,2.71,1.355
114,D_3,3,1,2045,HILLSBOROUGH,2549,6891,1414,2.7,1.35
115,D_3,3,1,2015,HILLSBOROUGH,739,1817,1178,2.45,1.225
115,D_3,3,1,2035,HILLSBOROUGH,893,2209,1179,2.47,1.235
115,D_3,3,1,2045,HILLSBOROUGH,916,2268,1179,2.47,1.235
116,D_3,3,1,2015,HILLSBOROUGH,2256,5157,1051,2.28,1.14
116,D_3,3,1,2035,HILLSBOROUGH,2457,5630,1076,2.29,1.145
116,D_3,3,1,2045,HILLSBOROUGH,2480,5684,1076,2.29,1.145
117,D_3,3,1,2015,HILLSBOROUGH,1014,2618,334,2.58,1.29
117,D_3,3,1,2035,HILLSBOROUGH,1042,2689,334,2.58,1.29
117,D_3,3,1,2045,HILLSBOROUGH,1046,2699,334,2.58,1.29
118,D_3,3,1,2015,HILLSBOROUGH,3,6,1654,2,1
118,D_3,3,1,2035,HILLSBOROUGH,3,6,1676,2,1
118,D_3,3,1,2045,HILLSBOROUGH,3,6,1809,2,1
119,D_3,3,1,2015,HILLSBOROUGH,1396,3250,109,2.32,1.16
